IEEE Robotics Autom. Lett,IEEE Robotics and Automation Letters,4
IEEE Trans. Robotics,IEEE Transactions on Robotics,4
IEEE Robotics Autom. Mag.,IEEE Robotics & Automation Magazine,5
Int. J. Robotics Res.,International Journal of Robotics Research,4
Robotics Auton. Syst., Robotics and Autonomous Systems,6
Robotica,Robotica,7
Sci. Robotics,Science Robotics,4
J. Robotics,Journal of Robotics,7
Int. J. Soc. Robotics,International Journal of Social Robotics,7
IEEE CAA J. Autom. Sinica,IEEE/CAA Journal of Automatica Sinica,5
